Name,Status,Address,AffiliateOfferTurnedOn,AffliliateLink
"Biloxi, MS",Open,"2649 Pass Road Biloxi, MS 39531",YES,https://biloxi.thepicklr.com/memberships/4118/plan/9483?_gl=1*18geqcz*_ga*MTczMjY0ODUwNi4xNzQxMjgxMDQz*_ga_RP1D1ZTH5S*MTc0MTI4MTA0Mi4xLjEuMTc0MTI4MTIwNy4wLjAuMA..*_gcl_au*NTkxNzMzNzk0LjE3NDEyODEwNDM.&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Blaine, MN",Open,"433 87th Ln., NE 55434",YES,https://blaine.thepicklr.com/memberships/2914/plan/9484?_gl=1*fs7cro*_gcl_au*NDYxNzUxMjk3LjE3MzU4NDI4NjUuMzExMzk4ODA3LjE3NDA3NzkzNTMuMTc0MDc4MjM2Nw..&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Cheyenne, WY",Open,"3741 E Lincolnway, Cheyenne, WY 82001",YES,https://cheyenne.thepicklr.com/memberships/4518/plan/9485?_gl=1*zjalqt*_ga*MTczMjY0ODUwNi4xNzQxMjgxMDQz*_ga_RP1D1ZTH5S*MTc0MTI4MTA0Mi4xLjEuMTc0MTI4MTIyOC4wLjAuMA..*_gcl_au*NTkxNzMzNzk0LjE3NDEyODEwNDM.&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Denton, TX",Open,"824 W University Dr, Denton, TX 76201",YES,https://thepicklr.com/location/denton/?rstr=10610&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Fredericksburg, VA",Open,"3700 Plank Rd., Fredericksburg, VA 22407",YES,https://fredericksburg.thepicklr.com/memberships/5543/plan/9487?_gl=1*w2vhv6*_ga*MTQ2ODAyMzgxMS4xNzQxMjgxMzA4*_ga_RP1D1ZTH5S*MTc0MTI4MTMwNy4xLjAuMTc0MTI4MTMxMS4wLjAuMA..*_gcl_au*MTkzNjQyMTYxNS4xNzQxMjgxMzA4&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Green Bay, WI",Open,"2610 Holmgren Way, Green Bay, WI 54304",YES,https://greenbay.thepicklr.com/memberships/4759/plan/9488?_gl=1*8extau*_ga*MTQ2ODAyMzgxMS4xNzQxMjgxMzA4*_ga_RP1D1ZTH5S*MTc0MTI4MTMwNy4xLjEuMTc0MTI4MTMzNC4wLjAuMA..*_gcl_au*MTkzNjQyMTYxNS4xNzQxMjgxMzA4&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Henderson, NV",Open,"1450 W. Horizon Ridge Pkwy. Suite #435, Henderson, NV 89012",YES,https://henderson.thepicklr.com/memberships/4343/plan/9489?_gl=1*360rzy*_ga*MTQ2ODAyMzgxMS4xNzQxMjgxMzA4*_ga_RP1D1ZTH5S*MTc0MTI4MTMwNy4xLjEuMTc0MTI4MTM1NC4wLjAuMA..*_gcl_au*MTkzNjQyMTYxNS4xNzQxMjgxMzA4&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Kaysville, UT",Open,"559 South Deseret Drive Kaysville, UT, 84037",YES,https://kaysville.thepicklr.com/memberships/2869/plan/9490?_gl=1*zbvp8s*_ga*MTQ2ODAyMzgxMS4xNzQxMjgxMzA4*_ga_RP1D1ZTH5S*MTc0MTI4MTMwNy4xLjEuMTc0MTI4MTM3NC4wLjAuMA..*_gcl_au*MTkzNjQyMTYxNS4xNzQxMjgxMzA4&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Logan, UT",Open,"1650 North Main Street Logan, UT 84341",YES,https://logan.thepicklr.com/memberships/2870/plan/9493?_gl=1*qnl8jn*_ga*MTQ2ODAyMzgxMS4xNzQxMjgxMzA4*_ga_RP1D1ZTH5S*MTc0MTI4MTMwNy4xLjEuMTc0MTI4MTM5My4wLjAuMA..*_gcl_au*MTkzNjQyMTYxNS4xNzQxMjgxMzA4&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Loveland, CO",Open,"3137 N Garfield Ave, Loveland, CO 80538",YES,https://thepicklr.com/location/loveland/?rstr=10610&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
